Semana;Ventas;TV grps 20seg AD55;inversion TV;radio grps 20seg AD15;inversion radio;FB impresiones;FB clics;inversion FB;TV grps 20seg competidor 1;TV grps 20seg competidor 2;TV grps 20seg competidor 3;paro
2/01/2022;76.00;42.00;14635.46;50.00;6587.78;48694.00;2169.00;8899.00;34.00;6.00;12.00;15.50
9/01/2022;85.00;132.80;14635.46;51.00;6311.32;48694.00;2169.00;8899.00;24.00;7.00;14.00;15.58
16/01/2022;81.00;94.12;14635.46;50.00;6551.96;48694.00;2169.00;8899.00;26.00;6.00;17.00;15.66
23/01/2022;86.00;71.65;13623.01;51.00;6361.63;50478.00;2473.00;9089.00;19.00;10.00;19.00;15.74
30/01/2022;84.00;47.66;7548.30;53.00;6900.81;61182.00;4297.00;10233.00;20.00;14.00;15.00;15.82
6/02/2022;78.00;67.06;7548.30;50.00;6848.30;61182.00;4297.00;10233.00;24.00;6.00;16.00;15.90
13/02/2022;93.00;88.83;7548.30;52.00;6936.17;61182.00;4297.00;10233.00;27.00;12.00;15.00;16.03
20/02/2022;82.00;101.53;7548.30;54.00;6761.65;61182.00;4297.00;10233.00;20.00;3.00;14.00;16.15
27/02/2022;69.00;84.61;10577.46;51.00;6840.97;43819.00;3207.00;9014.00;34.00;31.00;11.00;16.28
6/03/2022;73.00;87.84;11789.12;52.00;7088.65;36874.00;2772.00;8526.00;38.00;5.00;13.00;16.40
13/03/2022;71.00;84.14;11789.12;52.00;6687.52;36874.00;2772.00;8526.00;40.00;11.00;13.00;16.40
20/03/2022;67.00;81.66;11789.12;50.00;7128.84;36874.00;2772.00;8526.00;38.00;5.00;13.00;16.40
27/03/2022;67.00;102.66;9684.39;54.00;6506.54;36813.00;3034.00;8869.00;34.00;5.00;13.00;16.40
3/04/2022;49.00;64.06;6878.08;38.00;5762.02;36733.00;3384.00;9326.00;33.00;10.00;36.00;16.40
10/04/2022;69.00;75.63;6878.08;51.00;5642.95;36733.00;3384.00;9326.00;35.00;9.00;16.00;16.40
17/04/2022;56.00;52.25;6878.08;53.00;5649.08;36733.00;3384.00;9326.00;33.00;19.00;14.00;16.38
24/04/2022;47.00;20.90;6878.08;37.00;5782.72;36733.00;3384.00;9326.00;39.00;7.00;11.00;16.35
1/05/2022;56.00;74.36;23562.58;40.00;6630.59;2624.00;173.00;13422.00;35.00;3.00;9.00;16.33
8/05/2022;82.00;184.74;23562.58;47.00;6445.03;7552.00;806.00;13422.00;37.00;3.00;8.00;16.30
15/05/2022;87.00;211.90;23562.58;47.00;6487.38;12190.00;1455.00;13422.00;39.00;2.00;7.00;16.25
22/05/2022;89.00;212.76;23562.58;47.00;6794.14;57890.00;4670.00;13422.00;42.00;2.00;5.00;16.20
29/05/2022;85.00;213.10;24049.08;49.00;6836.62;65420.00;4140.00;12345.00;38.00;2.00;5.00;16.15
5/06/2022;79.00;199.24;24413.96;50.00;7026.80;48992.00;3200.00;11538.00;40.00;2.00;13.00;16.10
12/06/2022;79.00;205.70;24413.96;50.00;7352.94;67798.00;5441.00;11538.00;42.00;3.00;15.00;16.10
19/06/2022;88.00;192.28;24413.96;49.00;7150.71;57873.00;3632.00;11538.00;41.00;2.00;17.00;16.10
